frame_c,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
0,5.0,[2195.68017578125 1157.049072265625 2786.025390625 1736.6319580078125],[2407.13818359375 1551.491455078125 2576.4609375 1638.703857421875],0.6013635396957397,٥U5/75٥,[0.038141917803571075]
0,3.0,[752.2138671875 1369.3121337890625 1429.306396484375 1984.0484619140625],[974.8357543945312 1753.40380859375 1199.5994873046875 1851.191650390625],0.5669248700141907,HAI3NRU,[0.3147523051273012]
1,5.0,[2199.901611328125 1165.87548828125 2784.27197265625 1739.6192626953125],[2411.260986328125 1549.034912109375 2584.846435546875 1642.219482421875],0.5876848697662354,5٥5U,[0.12050702422857285]
1,3.0,[747.8661499023438 1372.65234375 1429.2664794921875 1991.4697265625],[975.324462890625 1765.396484375 1203.47021484375 1862.9620361328125],0.5357750058174133,NAIJNRU,[0.2742779683584885]
2,3.0,[749.390869140625 1378.548583984375 1432.2559814453125 1998.67138671875],[963.9210205078125 1782.314697265625 1187.0604248046875 1872.4549560546875],0.4821719527244568,MAI3NRU,[0.17692047061078736]
2,5.0,[2197.5048828125 1170.6190185546875 2786.410400390625 1748.775390625],[2410.0546875 1563.0362548828125 2585.463134765625 1653.6053466796875],0.4437575340270996,٥5/50,[0.08969624757143739]
3,3.0,[743.11376953125 1385.624755859375 1430.429443359375 2009.76904296875],[956.3207397460938 1785.892578125 1184.3294677734375 1879.5938720703125],0.4998027980327606,IAIJNRU,[0.4122584657594425]
3,5.0,[2195.035400390625 1174.151611328125 2789.40673828125 1757.818359375],[2411.900390625 1565.64990234375 2584.382080078125 1651.2462158203125],0.498190701007843,H٧5/5٥,[0.1096649089152067]
4,5.0,[2191.69287109375 1175.7222900390625 2790.112060546875 1763.072509765625],[2416.611083984375 1575.34326171875 2587.66162109375 1654.04638671875],0.571334958076477,٥5/٧5٥,[0.053558682701079906]
4,3.0,[733.8261108398438 1390.444091796875 1427.0093994140625 2020.4765625],[947.8341674804688 1785.777099609375 1190.2509765625 1887.91552734375],0.41104817390441895,NMJRU,[0.2470908789235785]
5,5.0,[2190.434814453125 1177.0191650390625 2792.797119140625 1767.83251953125],[2408.718505859375 1582.39892578125 2585.8759765625 1661.4521484375],0.5514554977416992,٥5I5U,[0.08890866718584836]
